00-SRNP-1182	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-1478	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-11320	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-11321	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-11375	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-11430	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-11701	Hapigia nodicornis	10.87621	-85.38632
00-SRNP-11729	Hapigia nodicornis	10.89974	-85.38085
00-SRNP-11730	Hapigia nodicornis	10.89974	-85.38085
00-SRNP-11784	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-12393	Hapigia nodicornis	10.88400	-85.38600
00-SRNP-22017	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-22062	Hapigia nodicornis	10.90037	-85.37254
00-SRNP-22063	Hapigia nodicornis	10.90037	-85.37254
01-SRNP-1405	Hapigia nodicornis	10.90037	-85.37254
01-SRNP-1406	Hapigia nodicornis	10.90037	-85.37254
01-SRNP-1407	Hapigia nodicornis	10.90037	-85.37254
01-SRNP-1777	Hapigia nodicornisICG03	10.90037	-85.37254
01-SRNP-5424	Hapigia nodicornis	10.90093	-85.28915
01-SRNP-5451	Hapigia nodicornis	10.90093	-85.28915
01-SRNP-22098	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-944	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-1083	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-2848	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-3215	Hapigia nodicornis	10.9305	-85.37223
02-SRNP-3472	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-3473	Hapigia nodicornisICG03	10.90037	-85.37254
02-SRNP-3474	Hapigia nodicornisICG03	10.90037	-85.37254
02-SRNP-3475	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-3686	Hapigia nodicornis	10.90037	-85.37254
02-SRNP-7533	Hapigia nodicornis	10.90425	-85.28651
02-SRNP-7534	Hapigia nodicornisICG03	10.90425	-85.28651
02-SRNP-19479	Hapigia nodicornisICG03	10.90037	-85.37254
03-SRNP-5211	Hapigia nodicornis	10.87247	-85.37933
03-SRNP-6166	Hapigia nodicornis	10.90037	-85.37254
03-SRNP-6167	Hapigia nodicornisICG03	10.90037	-85.37254
03-SRNP-6292	Hapigia nodicornisICG03	10.90037	-85.37254
03-SRNP-6335	Hapigia nodicornis	10.90037	-85.37254
03-SRNP-8067	Hapigia nodicornis	10.87741	-85.32363
03-SRNP-8156	Hapigia nodicornis	10.9163	-85.37869
03-SRNP-8407	Hapigia nodicornis	10.90037	-85.37254
03-SRNP-8408	Hapigia nodicornis	10.90037	-85.37254
03-SRNP-9525	Hapigia nodicornis	10.9163	-85.37869
03-SRNP-9526	Hapigia nodicornis	10.9163	-85.37869
03-SRNP-9770	Hapigia nodicornis	10.9163	-85.37869
03-SRNP-20524	Hapigia nodicornis	11.01983	-85.41342
03-SRNP-20652	Hapigia nodicornisICG03	11.01983	-85.41342
03-SRNP-20726	Hapigia nodicornis	11.01983	-85.41342
03-SRNP-30590	Hapigia nodicornisICG03	11.01752	-85.47411
03-SRNP-37333	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-1620	Hapigia nodicornis	10.9163	-85.37869
04-SRNP-1843	Hapigia nodicornis	10.9163	-85.37869
04-SRNP-2337	Hapigia nodicornis	10.9305	-85.37223
04-SRNP-3793	Hapigia nodicornis	10.90037	-85.37254
04-SRNP-61089	Hapigia nodicornisICG03	10.90037	-85.37254
04-SRNP-31166	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-32603	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-34121	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-56404	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-56437	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-56469	Hapigia nodicornis	11.01983	-85.41342
04-SRNP-41152	Hapigia nodicornis	10.90528	-85.27882
05-SRNP-1441	Hapigia nodicornis	10.90037	-85.37254
05-SRNP-1998	Hapigia nodicornis	10.88186	-85.38221
05-SRNP-2110	Hapigia nodicornis	10.8794	-85.38607
05-SRNP-2737	Hapigia nodicornis	10.90037	-85.37254
05-SRNP-3325	Hapigia nodicornis	10.9163	-85.37869
05-SRNP-5815	Hapigia nodicornis	10.9305	-85.37223
05-SRNP-5860	Hapigia nodicornis	10.9163	-85.37869
05-SRNP-7458	Hapigia nodicornis	10.9305	-85.37223
05-SRNP-8123	Hapigia nodicornis	10.90037	-85.37254
05-SRNP-32065	Hapigia nodicornisICG03	11.01983	-85.41342
06-SRNP-2554	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-2555	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-3703	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-3705	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-3706	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-3856	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-3857	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-4155	Hapigia nodicornis	10.9163	-85.37869
06-SRNP-5605	Hapigia nodicornis	10.9163	-85.37869
06-SRNP-9496	Hapigia nodicornis	10.90037	-85.37254
06-SRNP-21360	Hapigia nodicornis	11.02364	-85.49139
06-SRNP-33125	Hapigia nodicornis	11.01983	-85.41342
06-SRNP-33126	Hapigia nodicornis	11.01983	-85.41342
06-SRNP-33127	Hapigia nodicornis	11.01983	-85.41342
06-SRNP-40479	Hapigia nodicornis	10.90187	-85.27495
06-SRNP-40703	Hapigia nodicornis	10.90661	-85.28784
06-SRNP-40975	Hapigia nodicornis	10.89666	-85.29003
